"","FID1","IID1","FID2","IID2","NSNP","HETHET","IBS0","KINSHIP"
"324",0,"OF304",0,"LO04M",1144793,0.0796616,0.00935016,0.172397
"325",0,"OF304",0,"OF289",1119885,0.102669,0.00528536,0.276731
"326",0,"OM258",0,"E10F",961434,0.0415057,0.0493014,-0.336678
"327",0,"OM258",0,"E13M",959402,0.050052,0.0435782,-0.173235
"328",0,"OM258",0,"E14F",985187,0.0345366,0.0520155,-0.51144
"329",0,"OM258",0,"E18F",980011,0.054282,0.0395332,-0.0945398
"330",0,"OM258",0,"E19M",927469,0.0491887,0.0466937,-0.19119
"331",0,"OM258",0,"E24M",978569,0.0488509,0.043534,-0.187747
"332",0,"OM258",0,"E25F",922535,0.0487125,0.0463863,-0.199983
"333",0,"OM258",0,"E27M",861663,0.055777,0.0393089,-0.0825858
"334",0,"OM258",0,"E28F",920731,0.051407,0.0456572,-0.166372
"335",0,"OM258",0,"E29M",977835,0.0494848,0.0456641,-0.185687
"336",0,"OM258",0,"E30M",968949,0.0564632,0.0386367,-0.0741461
"337",0,"OM258",0,"E31M",983840,0.0456507,0.0428017,-0.2016
"338",0,"OM258",0,"E32M",940380,0.0503328,0.0464759,-0.199392
"339",0,"OM258",0,"E33M",764013,0.0544441,0.0447937,-0.130466
"340",0,"OM258",0,"E34M",979336,0.0474393,0.0462364,-0.224317
"341",0,"OM258",0,"E35M",986158,0.0621766,0.0234486,0.035147
"342",0,"OM258",0,"E36F",932700,0.0483682,0.04575,-0.21351
"343",0,"OM258",0,"E37F",979835,0.0348753,0.055295,-0.514424
"344",0,"OM258",0,"LAO01M",983269,0.0592849,0.0288487,-0.00405721
"345",0,"OM258",0,"LAO03M",946851,0.0503828,0.0479748,-0.253297
"346",0,"OM258",0,"LAO06M",979708,0.0480439,0.0311746,-0.118964
"347",0,"OM258",0,"LO01F",979662,0.0671711,0.0274105,0.0145084
"348",0,"OM258",0,"LO03M",963647,0.0495285,0.0385151,-0.130391
"349",0,"OM258",0,"LO04M",971208,0.0641274,0.0316863,-0.000843258
